ID,groupe,Y_qualite, Z_qualite, couleur,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol
1281,train,6,OK,rouge,7.1,0.46,0.20,1.90,0.077,28.0,54,0.99560,3.37,0.64,10.40
1282,train,6,OK,rouge,7.1,0.46,0.20,1.90,0.077,28.0,54,0.99560,3.37,0.64,10.40
1283,train,6,OK,rouge,7.9,0.77,0.00,2.00,0.084,9.0,22,0.99619,3.33,0.68,10.90
1284,test,6,OK,rouge,8.7,0.63,0.28,2.70,0.096,17.0,69,0.99734,3.26,0.63,10.20
1285,train,5,OK,rouge,7.0,0.42,0.19,2.30,0.071,18.0,36,0.99476,3.39,0.56,10.90
1286,train,5,OK,rouge,11.3,0.37,0.50,1.80,0.090,20.0,47,0.99734,3.15,0.57,10.50
1287,train,6,OK,rouge,7.1,0.16,0.44,2.50,0.068,17.0,31,0.99328,3.35,0.54,12.40
1288,test,5,OK,rouge,8.0,0.60,0.08,2.60,0.056,3.0,7,0.99286,3.22,0.37,13.00
1289,validate,5,OK,rouge,7.0,0.60,0.30,4.50,0.068,20.0,110,0.99914,3.30,1.17,10.20
1290,train,5,OK,rouge,7.0,0.60,0.30,4.50,0.068,20.0,110,0.99914,3.30,1.17,10.20
1291,test,5,OK,rouge,7.6,0.74,0.00,1.90,0.100,6.0,12,0.99521,3.36,0.59,11.00
1292,train,6,OK,rouge,8.2,0.64,0.10,2.10,0.073,25.0,60,0.99638,3.29,0.75,10.90
1293,train,6,OK,rouge,5.9,0.40,0.13,2.40,0.056,14.0,28,0.99362,3.62,0.67,12.40
1294,validate,4,Mauvais,rouge,7.5,0.76,0.00,1.90,0.084,6.0,12,0.99672,3.34,0.49,9.70
1295,test,6,OK,rouge,8.2,0.64,0.10,2.10,0.073,25.0,60,0.99638,3.29,0.75,10.90
1296,test,5,OK,rouge,6.6,0.63,0.00,4.30,0.093,51.0,78,0.99558,3.20,0.45,9.50
1297,train,5,OK,rouge,6.6,0.63,0.00,4.30,0.093,51.0,78,0.99558,3.20,0.45,9.50
1298,train,6,OK,rouge,7.2,0.53,0.14,2.10,0.064,15.0,29,0.99323,3.35,0.61,12.10
1299,test,6,OK,rouge,5.7,0.60,0.00,1.40,0.063,11.0,18,0.99191,3.45,0.56,12.20
1300,validate,3,Mauvais,rouge,7.6,1.58,0.00,2.10,0.137,5.0,9,0.99476,3.50,0.40,10.90
1301,train,6,OK,rouge,5.2,0.65,0.00,2.15,0.080,15.0,28,0.99444,3.78,0.61,12.50
1302,train,6,OK,rouge,6.7,0.86,0.07,2.00,0.100,20.0,57,0.99598,3.60,0.74,11.70
1303,test,6,OK,rouge,9.1,0.37,0.32,2.10,0.064,4.0,15,0.99576,3.30,0.80,11.20
1304,train,5,OK,rouge,8.0,0.28,0.44,1.80,0.081,28.0,68,0.99501,3.36,0.66,11.20
1305,train,5,OK,rouge,7.6,0.79,0.21,2.30,0.087,21.0,68,0.99550,3.12,0.44,9.20
1306,train,5,OK,rouge,7.5,0.61,0.26,1.90,0.073,24.0,88,0.99612,3.30,0.53,9.80
1307,test,5,OK,rouge,9.7,0.69,0.32,2.50,0.088,22.0,91,0.99790,3.29,0.62,10.10
1308,train,4,Mauvais,rouge,6.8,0.68,0.09,3.90,0.068,15.0,29,0.99524,3.41,0.52,11.10
1309,train,5,OK,rouge,9.7,0.69,0.32,2.50,0.088,22.0,91,0.99790,3.29,0.62,10.10
1310,test,5,OK,rouge,7.0,0.62,0.10,1.40,0.071,27.0,63,0.99600,3.28,0.61,9.20
1311,test,5,OK,rouge,7.5,0.61,0.26,1.90,0.073,24.0,88,0.99612,3.30,0.53,9.80
1312,train,6,OK,rouge,6.5,0.51,0.15,3.00,0.064,12.0,27,0.99290,3.33,0.59,12.80
1313,test,5,OK,rouge,8.0,1.18,0.21,1.90,0.083,14.0,41,0.99532,3.34,0.47,10.50
1314,test,6,OK,rouge,7.0,0.36,0.21,2.30,0.086,20.0,65,0.99558,3.40,0.54,10.10
1315,train,6,OK,rouge,7.0,0.36,0.21,2.40,0.086,24.0,69,0.99556,3.40,0.53,10.10
1316,test,6,OK,rouge,7.5,0.63,0.27,2.00,0.083,17.0,91,0.99616,3.26,0.58,9.80
1317,test,6,OK,rouge,5.4,0.74,0.00,1.20,0.041,16.0,46,0.99258,4.01,0.59,12.50
1318,test,6,OK,rouge,9.9,0.44,0.46,2.20,0.091,10.0,41,0.99638,3.18,0.69,11.90
1319,train,6,OK,rouge,7.5,0.63,0.27,2.00,0.083,17.0,91,0.99616,3.26,0.58,9.80
1320,train,6,OK,rouge,9.1,0.76,0.68,1.70,0.414,18.0,64,0.99652,2.90,1.33,9.10
1321,train,5,OK,rouge,9.7,0.66,0.34,2.60,0.094,12.0,88,0.99796,3.26,0.66,10.10
1322,train,6,OK,rouge,5.0,0.74,0.00,1.20,0.041,16.0,46,0.99258,4.01,0.59,12.50
1323,validate,5,OK,rouge,9.1,0.34,0.42,1.80,0.058,9.0,18,0.99392,3.18,0.55,11.40
1324,train,7,Bon,rouge,9.1,0.36,0.39,1.80,0.060,21.0,55,0.99495,3.18,0.82,11.00
1325,train,6,OK,rouge,6.7,0.46,0.24,1.70,0.077,18.0,34,0.99480,3.39,0.60,10.60
1326,test,6,OK,rouge,6.7,0.46,0.24,1.70,0.077,18.0,34,0.99480,3.39,0.60,10.60
1327,train,6,OK,rouge,6.7,0.46,0.24,1.70,0.077,18.0,34,0.99480,3.39,0.60,10.60
1328,train,6,OK,rouge,6.7,0.46,0.24,1.70,0.077,18.0,34,0.99480,3.39,0.60,10.60
1329,train,5,OK,rouge,6.5,0.52,0.11,1.80,0.073,13.0,38,0.99550,3.34,0.52,9.30
1330,test,6,OK,rouge,7.4,0.60,0.26,2.10,0.083,17.0,91,0.99616,3.29,0.56,9.80
1331,train,6,OK,rouge,7.4,0.60,0.26,2.10,0.083,17.0,91,0.99616,3.29,0.56,9.80
1332,train,5,OK,rouge,7.8,0.87,0.26,3.80,0.107,31.0,67,0.99668,3.26,0.46,9.20
1333,train,6,OK,rouge,8.4,0.39,0.10,1.70,0.075,6.0,25,0.99581,3.09,0.43,9.70
1334,validate,5,OK,rouge,9.1,0.78,0.22,2.20,0.079,12.0,48,0.99760,3.18,0.51,9.60
1335,train,5,OK,rouge,7.2,0.84,0.00,2.00,0.166,4.0,11,0.99608,3.39,0.52,10.00
1336,validate,6,OK,rouge,6.6,0.58,0.02,2.40,0.069,19.0,40,0.99387,3.38,0.66,12.60
1337,train,5,OK,rouge,6.0,0.50,0.00,1.40,0.057,15.0,26,0.99448,3.36,0.45,9.50
1338,train,5,OK,rouge,6.0,0.50,0.00,1.40,0.057,15.0,26,0.99448,3.36,0.45,9.50
1339,validate,5,OK,rouge,6.0,0.50,0.00,1.40,0.057,15.0,26,0.99448,3.36,0.45,9.50
1340,train,6,OK,rouge,7.5,0.51,0.02,1.70,0.084,13.0,31,0.99538,3.36,0.54,10.50
1341,test,6,OK,rouge,7.5,0.51,0.02,1.70,0.084,13.0,31,0.99538,3.36,0.54,10.50
1342,train,6,OK,rouge,7.5,0.51,0.02,1.70,0.084,13.0,31,0.99538,3.36,0.54,10.50
1343,test,6,OK,rouge,7.6,0.54,0.02,1.70,0.085,17.0,31,0.99589,3.37,0.51,10.40
1344,train,6,OK,rouge,7.5,0.51,0.02,1.70,0.084,13.0,31,0.99538,3.36,0.54,10.50
1345,test,5,OK,rouge,11.5,0.42,0.48,2.60,0.077,8.0,20,0.99852,3.09,0.53,11.00
1346,train,6,OK,rouge,8.2,0.44,0.24,2.30,0.063,10.0,28,0.99613,3.25,0.53,10.20
1347,validate,5,OK,rouge,6.1,0.59,0.01,2.10,0.056,5.0,13,0.99472,3.52,0.56,11.40
1348,train,5,OK,rouge,7.2,0.66,0.03,1.80,0.078,7.0,12,0.99587,3.34,0.39,9.50
1349,train,5,OK,rouge,7.2,0.66,0.03,1.80,0.078,7.0,12,0.99587,3.34,0.39,9.50
1350,test,5,OK,rouge,6.9,0.57,0.00,2.80,0.081,21.0,41,0.99518,3.41,0.52,10.80
1351,train,5,OK,rouge,9.0,0.60,0.29,2.00,0.069,32.0,73,0.99654,3.34,0.57,10.00
1352,train,6,OK,rouge,7.2,0.62,0.01,2.30,0.065,8.0,46,0.99332,3.32,0.51,11.80
1353,train,5,OK,rouge,7.6,0.65,0.03,1.90,0.086,14.0,57,0.99690,3.37,0.46,10.30
1354,train,5,OK,rouge,7.6,0.65,0.03,1.90,0.086,14.0,57,0.99690,3.37,0.46,10.30
1355,train,5,OK,rouge,7.2,0.58,0.03,2.30,0.077,7.0,28,0.99568,3.35,0.52,10.00
1356,validate,5,OK,rouge,6.1,0.32,0.25,1.80,0.086,5.0,32,0.99464,3.36,0.44,10.10
1357,test,5,OK,rouge,6.1,0.34,0.25,1.80,0.084,4.0,28,0.99464,3.36,0.44,10.10
1358,validate,6,OK,rouge,7.3,0.43,0.24,2.50,0.078,27.0,67,0.99648,3.60,0.59,11.10
1359,train,5,OK,rouge,7.4,0.64,0.17,5.40,0.168,52.0,98,0.99736,3.28,0.50,9.50
1360,test,6,OK,rouge,11.6,0.48,0.40,1.40,0.091,6.0,28,0.99704,3.07,0.65,10.03
1361,validate,5,OK,rouge,9.2,0.54,0.31,2.30,0.112,11.0,38,0.99699,3.24,0.56,10.90
1362,test,5,OK,rouge,8.3,0.85,0.14,2.50,0.093,13.0,54,0.99724,3.36,0.54,10.10
1363,train,6,OK,rouge,11.6,0.48,0.40,1.40,0.091,6.0,28,0.99704,3.07,0.65,10.03
1364,train,4,Mauvais,rouge,8.0,0.83,0.27,2.00,0.080,11.0,63,0.99652,3.29,0.48,9.80
1365,validate,6,OK,rouge,7.2,0.61,0.02,1.90,0.096,10.0,31,0.99500,3.46,0.53,11.80
1366,train,5,OK,rouge,7.8,0.50,0.09,2.20,0.115,10.0,42,0.99710,3.18,0.62,9.50
1367,test,5,OK,rouge,7.3,0.74,0.08,1.70,0.094,10.0,45,0.99576,3.24,0.50,9.80
1368,train,6,OK,rouge,6.9,0.54,0.30,2.20,0.088,9.0,105,0.99725,3.25,1.18,10.50
1369,train,6,OK,rouge,8.0,0.77,0.32,2.10,0.079,16.0,74,0.99656,3.27,0.50,9.80
1370,test,4,Mauvais,rouge,6.6,0.61,0.00,1.60,0.069,4.0,8,0.99396,3.33,0.37,10.40
1371,train,5,OK,rouge,8.7,0.78,0.51,1.70,0.415,12.0,66,0.99623,3.00,1.17,9.20
1372,test,6,OK,rouge,7.5,0.58,0.56,3.10,0.153,5.0,14,0.99476,3.21,1.03,11.60
1373,test,5,OK,rouge,8.7,0.78,0.51,1.70,0.415,12.0,66,0.99623,3.00,1.17,9.20
1374,test,5,OK,rouge,7.7,0.75,0.27,3.80,0.110,34.0,89,0.99664,3.24,0.45,9.30
1375,train,3,Mauvais,rouge,6.8,0.82,0.00,1.20,0.267,16.0,29,0.99471,3.32,0.51,9.80
1376,train,5,OK,rouge,7.2,0.56,0.26,2.00,0.083,13.0,100,0.99586,3.26,0.52,9.90
1377,train,5,OK,rouge,8.2,0.89,0.20,1.40,0.086,7.0,31,0.99460,3.11,0.46,10.00
1378,validate,6,OK,rouge,5.2,0.49,0.26,2.30,0.090,23.0,74,0.99530,3.71,0.62,12.20
1379,train,6,OK,rouge,7.2,0.45,0.15,2.00,0.078,10.0,28,0.99609,3.29,0.51,9.90
1380,validate,6,OK,rouge,7.5,0.57,0.02,2.60,0.077,11.0,35,0.99557,3.36,0.62,10.80
1381,train,6,OK,rouge,7.5,0.57,0.02,2.60,0.077,11.0,35,0.99557,3.36,0.62,10.80
1382,validate,5,OK,rouge,6.8,0.83,0.09,1.80,0.074,4.0,25,0.99534,3.38,0.45,9.60
1383,train,5,OK,rouge,8.0,0.60,0.22,2.10,0.080,25.0,105,0.99613,3.30,0.49,9.90
1384,train,5,OK,rouge,8.0,0.60,0.22,2.10,0.080,25.0,105,0.99613,3.30,0.49,9.90
1385,test,5,OK,rouge,7.1,0.76,0.15,1.80,0.107,20.0,84,0.99593,3.19,0.50,9.50
1386,train,5,OK,rouge,8.0,0.81,0.25,3.40,0.076,34.0,85,0.99668,3.19,0.42,9.20
1387,test,5,OK,rouge,7.4,0.64,0.07,1.80,0.100,8.0,23,0.99610,3.30,0.58,9.60
1388,train,5,OK,rouge,7.4,0.64,0.07,1.80,0.100,8.0,23,0.99610,3.30,0.58,9.60
1389,test,5,OK,rouge,6.6,0.64,0.31,6.10,0.083,7.0,49,0.99718,3.35,0.68,10.30
1390,validate,5,OK,rouge,6.7,0.48,0.02,2.20,0.080,36.0,111,0.99524,3.10,0.53,9.70
1391,validate,6,OK,rouge,6.0,0.49,0.00,2.30,0.068,15.0,33,0.99292,3.58,0.59,12.50
1392,test,5,OK,rouge,8.0,0.64,0.22,2.40,0.094,5.0,33,0.99612,3.37,0.58,11.00
1393,validate,5,OK,rouge,7.1,0.62,0.06,1.30,0.070,5.0,12,0.99420,3.17,0.48,9.80
1394,validate,5,OK,rouge,8.0,0.52,0.25,2.00,0.078,19.0,59,0.99612,3.30,0.48,10.20
1395,train,5,OK,rouge,6.4,0.57,0.14,3.90,0.070,27.0,73,0.99669,3.32,0.48,9.20
1396,train,6,OK,rouge,8.6,0.69,0.10,1.60,0.092,3.0,12,0.99745,3.31,0.65,9.55
1397,test,5,OK,rouge,8.7,0.68,0.10,1.60,0.090,4.0,11,0.99745,3.31,0.65,9.55
1398,validate,5,OK,rouge,7.3,0.59,0.26,2.00,0.080,17.0,104,0.99584,3.28,0.52,9.90
1399,train,7,Bon,rouge,7.0,0.60,0.12,2.20,0.083,13.0,28,0.99660,3.52,0.62,10.20
1400,train,6,OK,rouge,7.2,0.67,0.00,2.20,0.068,10.0,24,0.99560,3.42,0.72,11.10
1401,train,5,OK,rouge,7.9,0.69,0.21,2.10,0.080,33.0,141,0.99620,3.25,0.51,9.90
1402,train,5,OK,rouge,7.9,0.69,0.21,2.10,0.080,33.0,141,0.99620,3.25,0.51,9.90
1403,train,6,OK,rouge,7.6,0.30,0.42,2.00,0.052,6.0,24,0.99630,3.44,0.82,11.90
1404,train,8,Bon,rouge,7.2,0.33,0.33,1.70,0.061,3.0,13,0.99600,3.23,1.10,10.00
1405,train,6,OK,rouge,8.0,0.50,0.39,2.60,0.082,12.0,46,0.99850,3.43,0.62,10.70
1406,validate,7,Bon,rouge,7.7,0.28,0.30,2.00,0.062,18.0,34,0.99520,3.28,0.90,11.30
1407,test,6,OK,rouge,8.2,0.24,0.34,5.10,0.062,8.0,22,0.99740,3.22,0.94,10.90
1408,test,6,OK,rouge,6.0,0.51,0.00,2.10,0.064,40.0,54,0.99500,3.54,0.93,10.70
1409,train,7,Bon,rouge,8.1,0.29,0.36,2.20,0.048,35.0,53,0.99500,3.27,1.01,12.40
1410,train,6,OK,rouge,6.0,0.51,0.00,2.10,0.064,40.0,54,0.99500,3.54,0.93,10.70
1411,train,6,OK,rouge,6.6,0.96,0.00,1.80,0.082,5.0,16,0.99360,3.50,0.44,11.90
1412,train,6,OK,rouge,6.4,0.47,0.40,2.40,0.071,8.0,19,0.99630,3.56,0.73,10.60
1413,train,6,OK,rouge,8.2,0.24,0.34,5.10,0.062,8.0,22,0.99740,3.22,0.94,10.90
1414,train,5,OK,rouge,9.9,0.57,0.25,2.00,0.104,12.0,89,0.99630,3.04,0.90,10.10
1415,validate,5,OK,rouge,10.0,0.32,0.59,2.20,0.077,3.0,15,0.99940,3.20,0.78,9.60
1416,test,5,OK,rouge,6.2,0.58,0.00,1.60,0.065,8.0,18,0.99660,3.56,0.84,9.40
1417,test,5,OK,rouge,10.0,0.32,0.59,2.20,0.077,3.0,15,0.99940,3.20,0.78,9.60
1418,validate,7,Bon,rouge,7.3,0.34,0.33,2.50,0.064,21.0,37,0.99520,3.35,0.77,12.10
1419,train,5,OK,rouge,7.8,0.53,0.01,1.60,0.077,3.0,19,0.99500,3.16,0.46,9.80
1420,train,5,OK,rouge,7.7,0.64,0.21,2.20,0.077,32.0,133,0.99560,3.27,0.45,9.90
1421,validate,5,OK,rouge,7.8,0.53,0.01,1.60,0.077,3.0,19,0.99500,3.16,0.46,9.80
1422,train,5,OK,rouge,7.5,0.40,0.18,1.60,0.079,24.0,58,0.99650,3.34,0.58,9.40
1423,train,6,OK,rouge,7.0,0.54,0.00,2.10,0.079,39.0,55,0.99560,3.39,0.84,11.40
1424,train,4,Mauvais,rouge,6.4,0.53,0.09,3.90,0.123,14.0,31,0.99680,3.50,0.67,11.00
1425,train,6,OK,rouge,8.3,0.26,0.37,1.40,0.076,8.0,23,0.99740,3.26,0.70,9.60
1426,test,6,OK,rouge,8.3,0.26,0.37,1.40,0.076,8.0,23,0.99740,3.26,0.70,9.60
1427,train,6,OK,rouge,7.7,0.23,0.37,1.80,0.046,23.0,60,0.99710,3.41,0.71,12.10
1428,test,5,OK,rouge,7.6,0.41,0.33,2.50,0.078,6.0,23,0.99570,3.30,0.58,11.20
1429,train,5,OK,rouge,7.8,0.64,0.00,1.90,0.072,27.0,55,0.99620,3.31,0.63,11.00
1430,train,5,OK,rouge,7.9,0.18,0.40,2.20,0.049,38.0,67,0.99600,3.33,0.93,11.30
1431,test,5,OK,rouge,7.4,0.41,0.24,1.80,0.066,18.0,47,0.99560,3.37,0.62,10.40
1432,train,6,OK,rouge,7.6,0.43,0.31,2.10,0.069,13.0,74,0.99580,3.26,0.54,9.90
1433,train,6,OK,rouge,5.9,0.44,0.00,1.60,0.042,3.0,11,0.99440,3.48,0.85,11.70
1434,train,7,Bon,rouge,6.1,0.40,0.16,1.80,0.069,11.0,25,0.99550,3.42,0.74,10.10
1435,train,6,OK,rouge,10.2,0.54,0.37,15.40,0.214,55.0,95,1.00369,3.18,0.77,9.00
1436,train,6,OK,rouge,10.2,0.54,0.37,15.40,0.214,55.0,95,1.00369,3.18,0.77,9.00
1437,train,5,OK,rouge,10.0,0.38,0.38,1.60,0.169,27.0,90,0.99914,3.15,0.65,8.50
1438,train,5,OK,rouge,6.8,0.92,0.29,4.80,0.070,15.0,39,0.99577,3.53,0.54,11.10
1439,test,5,OK,rouge,7.0,0.59,0.00,1.70,0.052,3.0,8,0.99600,3.41,0.47,10.30
1440,train,6,OK,rouge,7.3,0.67,0.02,2.20,0.072,31.0,92,0.99566,3.32,0.68,11.07
1441,validate,7,Bon,rouge,7.2,0.37,0.32,2.00,0.062,15.0,28,0.99470,3.23,0.73,11.30
1442,train,6,OK,rouge,7.4,0.79,0.19,5.20,0.094,19.0,98,0.99713,3.16,0.52,9.57
1443,validate,5,OK,rouge,6.9,0.63,0.02,1.90,0.078,18.0,30,0.99712,3.40,0.75,9.80
1444,train,5,OK,rouge,6.9,0.58,0.20,1.75,0.058,8.0,22,0.99322,3.38,0.49,11.70
1445,validate,6,OK,rouge,7.3,0.67,0.02,2.20,0.072,31.0,92,0.99566,3.32,0.68,11.10
1446,train,6,OK,rouge,7.4,0.79,0.19,5.20,0.094,19.0,98,0.99713,3.16,0.52,9.60
1447,train,5,OK,rouge,6.9,0.63,0.02,1.90,0.078,18.0,30,0.99712,3.40,0.75,9.80
1448,validate,5,OK,rouge,6.8,0.67,0.00,1.90,0.080,22.0,39,0.99701,3.40,0.74,9.70
1449,test,5,OK,rouge,6.9,0.58,0.01,1.90,0.080,40.0,54,0.99683,3.40,0.73,9.70
1450,validate,8,Bon,rouge,7.2,0.38,0.31,2.00,0.056,15.0,29,0.99472,3.23,0.76,11.30
1451,validate,7,Bon,rouge,7.2,0.37,0.32,2.00,0.062,15.0,28,0.99470,3.23,0.73,11.30
1452,train,7,Bon,rouge,7.8,0.32,0.44,2.70,0.104,8.0,17,0.99732,3.33,0.78,11.00
1453,validate,7,Bon,rouge,6.6,0.58,0.02,2.00,0.062,37.0,53,0.99374,3.35,0.76,11.60
1454,validate,5,OK,rouge,7.6,0.49,0.33,1.90,0.074,27.0,85,0.99706,3.41,0.58,9.00
1455,train,6,OK,rouge,11.7,0.45,0.63,2.20,0.073,7.0,23,0.99974,3.21,0.69,10.90
1456,train,6,OK,rouge,6.5,0.90,0.00,1.60,0.052,9.0,17,0.99467,3.50,0.63,10.90
1457,validate,6,OK,rouge,6.0,0.54,0.06,1.80,0.050,38.0,89,0.99236,3.30,0.50,10.55
1458,train,5,OK,rouge,7.6,0.49,0.33,1.90,0.074,27.0,85,0.99706,3.41,0.58,9.00
1459,train,5,OK,rouge,8.4,0.29,0.40,1.70,0.067,8.0,20,0.99603,3.39,0.60,10.50
1460,train,7,Bon,rouge,7.9,0.20,0.35,1.70,0.054,7.0,15,0.99458,3.32,0.80,11.90
1461,train,6,OK,rouge,6.4,0.42,0.09,2.30,0.054,34.0,64,0.99724,3.41,0.68,10.40
1462,train,4,Mauvais,rouge,6.2,0.79,0.00,2.10,0.060,6.0,13,0.99664,3.59,0.61,10.00
1463,train,6,OK,rouge,6.8,0.64,0.03,2.30,0.075,14.0,31,0.99545,3.36,0.58,10.40
1464,validate,6,OK,rouge,6.9,0.63,0.01,2.40,0.076,14.0,39,0.99522,3.34,0.53,10.80
1465,train,5,OK,rouge,6.8,0.59,0.10,1.70,0.063,34.0,53,0.99580,3.41,0.67,9.70
1466,train,5,OK,rouge,6.8,0.59,0.10,1.70,0.063,34.0,53,0.99580,3.41,0.67,9.70
1467,train,7,Bon,rouge,7.3,0.48,0.32,2.10,0.062,31.0,54,0.99728,3.30,0.65,10.00
1468,train,4,Mauvais,rouge,6.7,1.04,0.08,2.30,0.067,19.0,32,0.99648,3.52,0.57,11.00
1469,train,7,Bon,rouge,7.3,0.48,0.32,2.10,0.062,31.0,54,0.99728,3.30,0.65,10.00
1470,test,3,Mauvais,rouge,7.3,0.98,0.05,2.10,0.061,20.0,49,0.99705,3.31,0.55,9.70
1471,test,5,OK,rouge,10.0,0.69,0.11,1.40,0.084,8.0,24,0.99578,2.88,0.47,9.70
1472,train,5,OK,rouge,6.7,0.70,0.08,3.75,0.067,8.0,16,0.99334,3.43,0.52,12.60
1473,train,6,OK,rouge,7.6,0.35,0.60,2.60,0.073,23.0,44,0.99656,3.38,0.79,11.10
1474,train,5,OK,rouge,6.1,0.60,0.08,1.80,0.071,14.0,45,0.99336,3.38,0.54,11.00
1475,train,5,OK,rouge,9.9,0.50,0.50,13.80,0.205,48.0,82,1.00242,3.16,0.75,8.80
1476,train,7,Bon,rouge,5.3,0.47,0.11,2.20,0.048,16.0,89,0.99182,3.54,0.88,13.57
1477,test,5,OK,rouge,9.9,0.50,0.50,13.80,0.205,48.0,82,1.00242,3.16,0.75,8.80
1478,test,7,Bon,rouge,5.3,0.47,0.11,2.20,0.048,16.0,89,0.99182,3.54,0.88,13.60
1479,train,3,Mauvais,rouge,7.1,0.88,0.05,5.70,0.082,3.0,14,0.99808,3.40,0.52,10.20
1480,train,5,OK,rouge,8.2,0.28,0.60,3.00,0.104,10.0,22,0.99828,3.39,0.68,10.60
1481,train,4,Mauvais,rouge,5.6,0.62,0.03,1.50,0.080,6.0,13,0.99498,3.66,0.62,10.10
1482,train,5,OK,rouge,8.2,0.28,0.60,3.00,0.104,10.0,22,0.99828,3.39,0.68,10.60
1483,train,4,Mauvais,rouge,7.2,0.58,0.54,2.10,0.114,3.0,9,0.99719,3.33,0.57,10.30
1484,test,5,OK,rouge,8.1,0.33,0.44,1.50,0.042,6.0,12,0.99542,3.35,0.61,10.70
1485,test,4,Mauvais,rouge,6.8,0.91,0.06,2.00,0.060,4.0,11,0.99592,3.53,0.64,10.90
1486,validate,5,OK,rouge,7.0,0.66,0.16,2.10,0.074,8.0,25,0.99606,3.37,0.55,9.70
1487,train,5,OK,rouge,6.8,0.68,0.21,2.10,0.070,9.0,23,0.99546,3.38,0.60,10.30
1488,train,5,OK,rouge,6.0,0.64,0.05,1.90,0.066,9.0,17,0.99496,3.52,0.78,10.60
1489,test,5,OK,rouge,5.6,0.54,0.04,1.70,0.049,5.0,13,0.99420,3.72,0.58,11.40
1490,test,6,OK,rouge,6.2,0.57,0.10,2.10,0.048,4.0,11,0.99448,3.44,0.76,10.80
1491,test,6,OK,rouge,7.1,0.22,0.49,1.80,0.039,8.0,18,0.99344,3.39,0.56,12.40
1492,test,5,OK,rouge,5.6,0.54,0.04,1.70,0.049,5.0,13,0.99420,3.72,0.58,11.40
1493,train,5,OK,rouge,6.2,0.65,0.06,1.60,0.050,6.0,18,0.99348,3.57,0.54,11.95
1494,train,5,OK,rouge,7.7,0.54,0.26,1.90,0.089,23.0,147,0.99636,3.26,0.59,9.70
1495,train,7,Bon,rouge,6.4,0.31,0.09,1.40,0.066,15.0,28,0.99459,3.42,0.70,10.00
1496,train,6,OK,rouge,7.0,0.43,0.02,1.90,0.080,15.0,28,0.99492,3.35,0.81,10.60
1497,test,5,OK,rouge,7.7,0.54,0.26,1.90,0.089,23.0,147,0.99636,3.26,0.59,9.70
1498,validate,6,OK,rouge,6.9,0.74,0.03,2.30,0.054,7.0,16,0.99508,3.45,0.63,11.50
1499,train,6,OK,rouge,6.6,0.90,0.04,2.30,0.068,7.0,13,0.99582,3.53,0.58,10.80
1500,train,6,OK,rouge,6.9,0.74,0.03,2.30,0.054,7.0,16,0.99508,3.45,0.63,11.50
1501,train,5,OK,rouge,7.5,0.73,0.04,1.50,0.076,8.0,15,0.99508,3.26,0.53,9.60
1502,train,5,OK,rouge,7.8,0.82,0.29,4.30,0.083,21.0,64,0.99642,3.16,0.53,9.40
1503,train,5,OK,rouge,7.3,0.59,0.18,2.40,0.078,15.0,60,0.99638,3.31,0.54,9.80
1504,test,6,OK,rouge,6.2,0.44,0.39,2.50,0.077,6.0,14,0.99555,3.51,0.69,11.00
1505,train,6,OK,rouge,7.5,0.38,0.57,2.30,0.106,5.0,12,0.99605,3.36,0.55,11.40
1506,train,3,Mauvais,rouge,6.7,0.76,0.02,1.80,0.078,6.0,12,0.99600,3.55,0.63,9.95
1507,train,6,OK,rouge,6.8,0.81,0.05,2.00,0.070,6.0,14,0.99562,3.51,0.66,10.80
1508,test,6,OK,rouge,7.5,0.38,0.57,2.30,0.106,5.0,12,0.99605,3.36,0.55,11.40
1509,train,6,OK,rouge,7.1,0.27,0.60,2.10,0.074,17.0,25,0.99814,3.38,0.72,10.60
1510,validate,5,OK,rouge,7.9,0.18,0.40,1.80,0.062,7.0,20,0.99410,3.28,0.70,11.10
1511,train,6,OK,rouge,6.4,0.36,0.21,2.20,0.047,26.0,48,0.99661,3.47,0.77,9.70
1512,train,5,OK,rouge,7.1,0.69,0.04,2.10,0.068,19.0,27,0.99712,3.44,0.67,9.80
1513,train,6,OK,rouge,6.4,0.79,0.04,2.20,0.061,11.0,17,0.99588,3.53,0.65,10.40
1514,test,6,OK,rouge,6.4,0.56,0.15,1.80,0.078,17.0,65,0.99294,3.33,0.60,10.50
1515,validate,6,OK,rouge,6.9,0.84,0.21,4.10,0.074,16.0,65,0.99842,3.53,0.72,9.23
1516,validate,6,OK,rouge,6.9,0.84,0.21,4.10,0.074,16.0,65,0.99842,3.53,0.72,9.25
1517,train,5,OK,rouge,6.1,0.32,0.25,2.30,0.071,23.0,58,0.99633,3.42,0.97,10.60
1518,train,6,OK,rouge,6.5,0.53,0.06,2.00,0.063,29.0,44,0.99489,3.38,0.83,10.30
1519,train,5,OK,rouge,7.4,0.47,0.46,2.20,0.114,7.0,20,0.99647,3.32,0.63,10.50
1520,test,5,OK,rouge,6.6,0.70,0.08,2.60,0.106,14.0,27,0.99665,3.44,0.58,10.20
1521,train,6,OK,rouge,6.5,0.53,0.06,2.00,0.063,29.0,44,0.99489,3.38,0.83,10.30
1522,train,4,Mauvais,rouge,6.9,0.48,0.20,1.90,0.082,9.0,23,0.99585,3.39,0.43,9.05
